name,raw_description
Trebert 5 Cylinder 3.0 Liter Engine,"I took the best elements of a Trebert engine and put them all into a workable model. I've included all of the components including manifolds, pistons, cylinders, lifters, pushrods etc. I didn't include a sealed spark plug wire, but everything else is there. This was designed from scratch in Inventor and I have included files in step, iges and parasolid x_t formats.

Instead of doing a type of Trebert engine where the cylinders rotate, I modified this so that the shaft rotates. Firing order is axial with each piston 72° from the next. Bore = 4"" and stroke = 3""

If you have Inventor, you can follow each part start-finish and see how they were modeled. Take a look and let me know your thoughts!"
Hexacopter agriculture drone,"drone type hexacopter with 15inch propeller and 5 liter load especially for agriculture

If you are need a custom 3D design order in my fiver https://www.fiverr.com/nailil77?up_rollout=true"
Streamlined propeller with ogive hub - concept design,"Concept design for a propeller. Two variants, one with an approximately 270 degree twist from tip to end, the other with an approximately 360 degree twist from tip to end."
Quadcopter,Teknofest 2021 competetion quadcapter drone design
NACA 2412 AIRFOIL SURFACE,"naca 2412 airfoil all of them is SURFACE FOR ANALYS

ANALİZ İÇİN HEPSİ YÜZEY OLARAK MODELLENMİŞTİR."
Spinner and folding propeller 9x6,moto glider
Airbus A400M Atlas (with video),"Hello everyone, as part of our studies, we had to design an Airbus A400M ATLAS.
Here is the detail of our project :
- Design of the airframe, doors and cargo bay
- Design of wings, flaps, airbrakes, and roll ailerons
- Design of the engine, variable pitch propeller
- Design of the front and rear landing gear
- Kinematic simulation
- Aerodynamic simulation

We had a lot of fun working on this project, we hope you will enjoy it as well.
Do not hesitate to watch our video and like our project to support us.

PLEASE mention our names if using these files.

A400M Project Team

-------------------------------------------------------------------------------------------

Bonjour à tous, dans le cadre de nos études, nous devions concevoir un Airbus A400M ATLAS.
Voici le détail de notre projet :
- Conception de la carlingue, portes et soute
- Conception des ailes, volets, aérofreins, et ailerons de roulis
- Conception des moteurs, pales ratier
- Conception des trains d'atterrissage avant et arrière
- Simulation cinématique
- Simulation aérodynamique

Nous avons pris beaucoup de plaisir à travailler sur ce projet, nous espérons qu'il vous plaira également.
N'hésitez pas à aimer notre projet pour nous soutenir.

L'équipe Projet A400M

Vote : https://go2.promotrust.com/poty2021?sre=ro0p9nF8PZwNX#/gallery"
A400M ATLAS,"Hello everyone, as part of our studies, we had to design an Airbus A400M ATLAS.
Here is the detail of our project :
- Design of the airframe, doors and cargo bay
- Design of wings, flaps, airbrakes, and roll ailerons
- Design of the engine, variable pitch propeller
- Design of the front and rear landing gear
- Kinematic simulation
- Aerodynamic simulation

We had a lot of fun working on this project, we hope you will enjoy it as well.
Do not hesitate to like our project to support us.

A400M Project Team

-------------------------------------------------------------------------------------------

Bonjour à tous, dans le cadre de nos études, nous devions concevoir un Airbus A400M ATLAS. 
Voici le détail de notre projet :
- Conception de la carlingue, portes et soute
- Conception des ailes, volets, aérofreins, et ailerons de roulis
- Conception des moteurs, pales ratier
- Conception des trains d'atterrissage avant et arrière
- Simulation cinématique
- Simulation aérodynamique

Nous avons pris beaucoup de plaisir à travailler sur ce projet, nous espérons qu'il vous plaira également. 
N'hésitez pas à aimer notre projet pour nous soutenir.

L'équipe Projet A400M

Vote : https://go2.promotrust.com/poty2021?sre=ro0p9nF8PZwNX#/gallery"
Propeller 18x10 inch,"At the request of one of the members of the GrabCAD community
Propeller 18x10 inches
The model is in a universal format and can be easily converted to any CAD
Work done at Autodesk Inventor 2012"
FAN HELICE VENT PROPELLER,VENTILADOR CHIMENEA
Lockheed L1011 Freighter version,Lockheed L1011 Freighter version
4 Propellers,"4 different type of propellers models created as a study I've improved the blades shapes with foils section, they are my attempt on modelling these complex shape, done with Blender and converted for others application. I think can be easily printed and used for scale model or 3d design."
X-UAV Clouds - VTOL Retrofit,"This is the X-UAV Clouds airframe with some parts I designed to convert it to VTOL. A Cobra Motor CP2814 400kV brushless motor has been modeled as well.

There are a couple of imperfections, such as main wing height being off by ~1cm, the stabilizers coming to too sharp of a point, and the interior compartments not being perfect. Also missing control surfaces. It suited my needs, so I am calling it good for now. Feel free to modify it.

Designed in Solidworks, but I can provide .step or even .stl files if there is a request for them. 

The Propellers, T-Motor MN 3515, and GoPro were not designed by me, they were sourced from this site."
Cessna model Grand Caravan,Cessna model Grand Caravan
STOL Ultralight,"Tracking the development of an easy to manufacture, composite ultralight. Inspired by the likes of the Merlin Lite and STOL Bushplanes.

Wheels, Human Figure, and Propeller taken from models found on GrabCAD.

Polini Thor Motor also uploaded as a separate model"
Diver Propulsion Vehicle (DPV),"A simple diver propulsion vehicle concept. It assist SCUBA divers to help with fatigue as well as extend the range. 12V electric power. Has a vintage/retro- James Bond-ish appearance. 1 speed, made from aluminum. Created in Autodesk Inventor LT 2019."
waterjet turbine propeller,"Student work, we started from cloud scan. Thanks to Daniele Castellaneta RIMM"
Assembly Propeller,Assembly Propeller for RC model boat
ENAPTER_ISLANDER,"PLEASE READ THE FULL ABSTRACT BELOW TO FULLY UNDERSTAND THE CONCEPT
----------------------------------------------------------------------------------------------------------------------
'ENAPTER_ISLANDER' : as the name indicates, this concept is for isolated communities around the globe - Such as people living in islands, ships, yachts, submarines etc. The major problems faced by such people are; 
1) - Desalination of sea water
2) - Dependency on main lands for fuel
3) - Electricity
The system will not release any greenhouse gases and it is scalable and manufacturable. It can be directly implemented in islands. We can also use my conceptual windmills (Detailed report of windmill project also attached) for pumping sea water and generating electricity for islands.H2 fuel can be used for vehicles. Plenty of remaining desalinated water and electricity can be used for other purposes.  Where in ships/yachts/submarines, same system can be used by attaching the salt water pump to the propeller shaft, through any clutch and gear drive mechanisms. Thus,  it couples automatically to the propeller shaft when there is a shortage of water in the reservoir tank detected by sensors. So it generate both desalinated water and H2 and store it for later purposes. In ships or submarines, the desalinated water can be used for hydrogen generation for fuel-cells and as cooking gas in emergency situations. Desalinated water can be used in normal situations also. A smaller unit of this system will be helpful for fishermen in emergency situations for desalinated water, electricity and fuel. It is 100% renewable energy, 100% eco-friendly and manufactuarable !! 
In remote areas hydrogen is used in stationary fuel cells for following purposes;
                   4) -  Uninterruptible power supply for hospitals and data centers.
                   5) -  Power for telecommunications in remote locations.
                   6) -  Backup power for regional emergency shelters.
ENAPTER_ISLANDER can be used in Gulf & Mediterranean countries also, as these countries are highly dependent on desalinated water, and have high scope for floating windmills. These region relies heavily on fossil fuel-based thermal desalination. Two-thirds of the water produced from seawater desalination in the region today is from fossil fuel-based thermal desalination, while the rest is from membrane-based desalination that relies heavily on electricity produced using natural gas. It will cause the release of gre..."
Aeronaut CAM Carbon Light 13x5 propeller,"Carbon fiber propeller for my UAV model.

13 inches (33mm)"
Jet Turbine Fan,Jet Turbine Propeller or Fan
7-Cylinder Radial Engine,"Software : 3DS CATIA V5
Scale       : 1:4
Size         : 440 x 440 x 500 mm
Time        : 120 Hours
Credit      : 
1. Mr. https://grabcad.com/wolfgang.gutleb-1
2. www.erfa-cad.ch/+3_Projekte/B10_Sternmotor/7-Zylinder-Sternmotor.zip

Note:
* Excellent challenge to test CATIA modeling skill.
* Consists of 75 Parts, 13 Subassemblies, 550+ Items.
* Standard Parts such as Bolts, Nuts, Circlips, Bearings were modeled based on ISO/DIN and used.
* Propeller was modeled in Generative Shape Design Workbench using the NACA 4-digit series aerofoils and Macro option.
* Reused Ignition Plug, Inlet Pipe and Exhaust Pipe from Mr. Gutleb's Model."
R3090 Propeller,"Propeller for HOBBYWING X8 motor 
Size:3090 (CCW)"
Barreled_hub_conic_seal_propeller,"hi, this is my second try to make a worthy boat propeller design, this time with a barreled hub and conic seal. concerning the bolts, Boltgen doesn't work or gives screws without heads, I had to design them myself. Please to tel me your remarks ans observations. thank you."
Boat propeller & shaft,"4 blades propeller, shaft, nuts, cotter. this design do not comply to any standards, it's an approximation to a displacement work boat prop. The rake, skew, hub diametre or shaft threads, are naot calculated. For standards, see the ASE (American standards) for exemple."
DJI Mini 2 motor and propeller blades,"Motor's foot and bell are measured as precisely as possible. Propeller's 4.7"" blade is look-a-like sketched from the photo with 2.6"" pitch."
Marine propeller shaft assembly,Assembly for manufacturing project
Submarine drone,"Submarine drone strongly inspired by the ""bluefin sandshark""
Propeller made by ""https://grabcad.com/francis.beckers"""
16/8 Wood Propeller,"16/8 Wood Propeller for Gasoline engines. (30cc)

Diameter: 16 inch (406,4mm)
Pitch: 8 inch (203,2mm)"
WW1 Liberty V-12 Propeller Hub,Propeller hub assembly for the Liberty L-12A Engine.  Modeled from the original Army Air Corps drawings.  See more of this Liberty V-12 and other Aircraft engines at Http://www.enginehistory.org
5x4x3 Propeller,"Propeller designed for Racing Drones.

Diameter: 5 inch
Pitch: 4 inch
Blade count: 3"
Unmanned - Aerial- Vehicle simple,"Hello everyone, I tried to draw a simple UAV as much as i could"
Gas Turbine Engine,"This design is based on some google images that I found. This might not be very accurate or precise, as it was modeled just for fun and a bit of practice."
Lisu 3 inch FPV Drone Frame,"www.drstasarim.com
You can access to various open source designs that you can download, modify and 3D print through our website.
Visit the website to see the suggested avionic parts and technical specs.

Please use the hashtag #drstasarim in your posts that show your collaboration with our community!

Please contact for further questions."
Variable pitch propeller,"Dia 1800 mm, for engine 180-230 HP"
Colibri 5 inch FPV Drone Frame,"www.drstasarim.com
You can access to various open source designs that you can download, modify and 3D print through our website.
Visit the website to see the suggested avionic parts and technical specs.

Please use the hashtag #drstasarim in your posts that show your collaboration with our community!

Please contact for further questions."
Water-jet Propulsion Model,"Water-jet Propulsion is a marine system that produces a jet of water for propulsion. The mechanical arrangement may be a ducted propeller (axial-flow pump), a centrifugal pump, or a mixed flow pump which is a combination of both centrifugal and axial designs. (Source - https://en.wikipedia.org/wiki/Pump-jet)

Kamewa Waterjet Model - https://grabcad.com/library/kamewa-waterjet-model-1"
Water Jet Pump Assembly FreeCAD Tutorial,FreeCAD Tutorial Series of Creation the Water Jet Pump
Wind Turbine Rotor FreeCAD Tutorial,FreeCAD Tutorial
Turbo pump,I draw a simple turbo pump (missing parts : bearings - screws) ( ıt has been originated)
Gemfan 7x5 Propeller,"This model is not fully parametric, but it could be useful for concept design.

Modeled and rendered in Autodesk Fusion 360"
Clamp-holder-Catia,"Hello everyone I draw a basic clamp.
All dimensions are belong to me."
Motor 1 15 inch,"Motor for Aerial Vehicles, With a 15 inch propeller."
T-Motor 18x6 composite folding propeller pair CW CCW,"Dimensionally accurate .STP and .IGES models of the TM 18x6 folding composite propeller. This has a different planform and foil than the carbon fibre prop of the same size.

Folded and unfolded, CW and CCW
.PNG rendered image for reference

http://highceeaerotech.com"
Reverse engineered DJI Mavic Mini/SE/Mini 2 propellers,Reverse engineered with digital caliper with Gottingen 495 as chosen aerofoil (modified over last design in terms of thickness for 3d printing). Please email me at aeroabhilekh@gmail.com for the design files.
Radial Engine,"Hi! 
I had my eyes on this ""7 Cylinder Radial Engine"" project since I saw ""wolfgang gutleb"" upload. It has been a great challenging experience, and I am glad to share it here with you. If you would like to re-create too, I have created a pdf file with the drawings you can use, and below is a link to video demonstrations followed on my YouTube channel.

The drawings are updated, so the dimensions might differ slightly at first from what you see in the video demonstrations."
Gemfan Hurricane 51466 Propeller,"5-inch props for FPV racing and freestyle. 

I modeled this as visual reference to plan out my drone build in Fusion 360. The hub dimensions are accurate but the blade profiles are approximated.

Length: 5.1""
Pitch: 4.66""
Hub Thickness: 7mm
Weight: 4.13g
Material: Polycarbonate
Color: KababFPV Clear Gray"
Tri-Blade 5045 Propeller,"Standard 5-in propeller for miniquads. I modeled this as visual reference to plan out my drone build in Fusion 360. Although the the hub dimensions are accurate, the blade profiles are approximated. 

Size: 5045 (5.0in x 4.5in)
Color: Black
Type: 3-Blade
Hub: 5mm"
Helicopter - Boeing AH-64 Apache Helicopter [New Apache AH-64],"If I wanted to, I would have designed the copy version. I wanted to give Apache Helicopter a new look. I added new features to the single-function apache helicopter. This design has features similar to the old one. However, in this design, I made this helicopter, along with its troops, into a heavily armed attack helicopter. ALSO, PROPELLER: TEMPORARY,... SYMBOLIC ... COCKPIT SECTION IS MAXIMUM 2 PEOPLE...  ""New Attack Helicopter."" ... (ready to fly - ready to attack)                                        
https://www.youtube.com/watch?v=oQjEsduxE3A&t=51s                                                    https://www.youtube.com/watch?v=DjtqJROdQ_k"
A - 10 PROPELLER RC,Model RC
18x14 foldable propeller,"Designed from ground up with propeller to hub bolt distant of 50mm. Using smoothed Clark Y airfoil (11.7% thickness) throughout except at the root for blending in to yoke attachment.

14 inch pitch is a lot for an 18 inch diameter propeller, however it was asked for by a fellow member here."
"36x10, 36x19, 30x12, 32x10, 24x8 & 23x12 Propeller","Based on XOAR profile, both props were scaled where, at 0.75 radius, the airfoil angle for the 30 inch prop stands at around 9.6 degrees where else for the 32 inch prop the angle is around 7.5 degrees.

So, do not be alarmed if the 32 inch prop is a little thinner than 30 inch prop and as requested in the comment, added 24x8 prop where the pitch angle at 75% of radius is at 8.06 degrees.

For the 36x10, the effective angle at 3/4 radius is around 6.7 degrees... effectively at such a diameter, the small pitch resulting in thinning of the blades...

40x22 and 47x22 propeller uploaded to the collection. The 40 inch prop has an angle of 13.14 degrees at 3/4 radius while the 47 inch prop has about 11.24 degrees."
PROPELLER AP-PR-006,"RC Aircraft Propeller.

Traditional shape propeller of NACA 4415 airfoil.

Ideal option for two or four stroke gasoline engines.

It has the optimal shape for High Performance RC models.

Generates small drag and resistance torque, but provides great thrust performance.

Ideal manufacturing method for this propeller is CNC machining of hard wood.

However it can be also 3D Printed or Nylon casted.

Diameter: 6"" / 152.4 [mm]

Pitch: 2"" / 50.8 [mm]

Pitch ratio: 0.333

This is a set of two propellers (RH - Tractor & LH Pusher) with blade design AP-PR-006 6-2. (see attached drawing)

See attached reference drawing for Different Propeller sizes (Diameter and/or Pitch).

See following link for more AP-PR-006 sizes:

https://www.cgtrader.com/adampolak

Available sizes of AP-PR-006 RH & LH:

AP-PR-006 6x2; AP-PR-006 6x3; AP-PR-006 6x4; AP-PR-006 6x5; AP-PR-006 7x4; AP-PR-006 7x5; AP-PR-006 8x4; AP-PR-006 8x5; AP-PR-006 8x6; AP-PR-006 9x4; AP-PR-006 9x5; AP-PR-006 9x6; AP-PR-006 10x4; AP-PR-006 10x5; AP-PR-006 10x6; AP-PR-006 10x7; AP-PR-006 11x4; AP-PR-006 11x5; AP-PR-006 11x6; AP-PR-006 11x7; AP-PR-006 11x8; AP-PR-006 12x5; AP-PR-006 12x6; AP-PR-006 12x7; AP-PR-006 12x8; AP-PR-006 12x9; AP-PR-006 13x6; AP-PR-006 13x7; AP-PR-006 13x8; AP-PR-006 13x9; AP-PR-006 14x5; AP-PR-006 14x6; AP-PR-006 14x7; AP-PR-006 14x8

Please check my other models. I do have wide variety of different propellers.

Please fill attached form if You would like to order bespoke propeller design.

3D models are in Step file and it can be converted upon request."
Kawasaki 440 Engine with J-Bird Ultralight Engines Reduction Drive,"This is a Kawasaki 440 engine, outfitted with a J-Bird Ultralight Engines Reduction Drive Unit and Warp Drive 60"" Propeller (cut down from the model below), created in SolidWorks 2019. It's not exact scale. I needed something to use as a place-holder for an ultralight design I'm working on and reverse engineered this power unit, using calipers and scales. It's pretty close.... but not 100% accurate. The engine mounting bolt pattern and engine mounting plate (which I designed) are correct though!

Other peoples parts used in the model:
Mikuni Carberator from Peter Barchenko:
https://grabcad.com/library/carburator-mikuni
Warp Drive Prop from Daniel Clarke:
https://grabcad.com/library/70-warp-drive-propeller-1
Spark Plug from Ahmed ElPrince:
https://grabcad.com/library/spark-plug-bkr5es-ngk-with-original-dimensions-1

Thank you all for the use of your models."
High speed propeller bevel gearbox,With a gear reduction of 1:3.333 (output : input) this is my rendition of a high speed bevel gearbox for application in drones. Self designed concept propeller too (will be uploaded later). The bevel gears are from locked differential of 1/16 Brushless 4WD Mini Rally car
Propeller,CAD Model of Propeller. Please Like if you download the model.
Jet Turbine Propeller,It is a new design of my jet turbine propeller. If you liked my design you should download. :)
Folding propeller mechanism,These folding propellers are used in VTOL to reduce drag when the drone fly in fast speed. This design can also prevent unnecessary damage to the motor and propeller. The motor mount is 3D printable.
"Vintage propeller, 1914","Source: http://woodenpropeller.com/Chauviere.html
Size: ~11-5 (equals ~1:8)
The CNC:d propeller was milled with a 20mm ballmill using the files without root fillets.
I've added files with ""fillets"" also for those who want a more pleasing 3D."
DALPROP T7056C Prop CW/CCW,"These are DALPROP T7056C props for quadcopters. Both CW and CCW rotation, CW is marked with a ""R"" next to the prop code on the model. The foils are not naca profile derived but taking physical slices from a prop and doing some very close eyballing and comparing. Certainly better than a simple extrude with a filleted edge ;). Even made sure to get in the prop code, rotation, and DALPROP debossing in there. The only thing not in there is the DALPROP logo that is on a curved path around the motorshaft hole, and some irrelevant mold marks. Maybe I'll add that later.

Object properties in Fusion 360 is poly carbonate (real one is PC + glass fiber). Rendered it up in a red as well to show the debossing details on the blades better.

Included Fusion 360 files, STL, IGES, and STEP."
Quad-copter,"An aerial photography/videography drone primarily used for search and rescue operations. The quadcopter searches for stranded people and sends the information to the operator through a transmitter. The motor used here is DYS MR2205-2750kV which produces a thrust of about 371gf/motor for a 3s cell system and 561gf/motor for a 4s cell system. Both of the system works with a 5x4.5 STD propeller. All of the components are attached below. Made using Autodesk Fusion 360.
Design Credits: Autodesk Team
Note*: This is the model used in the Autodesk Course on Fusion 360 offered through Coursera."
Mini DC Brushed Motor,"Most common place to find these motors would be inside children’s toys. Mini brushed motors have very small torque and high speed of rotation, therefore are used for lightweight car toys, lightweight boat toys, small usb fans, electric toothbrushes and as a main component inside small gearmotors. As the name implies, gearmotors are these simple brushed motors combined with a number of gears. The purpose here is to reduce the speed of the rotation and consequently increase the torque of the output shaft. Great learning project here would be to use a mini brushed motor and build your own set of gears, mount them on the shaft and experiment with the output torque and speed, don’t forget to grease the gears to reduce the noise and increase the efficiency.  

Common working voltages for these motors are 3V, 6V and 12V. As with the other motors it’s good practice to separate the current source from the rest of the electronics, to avoid damage caused by back emf. They usually draw 0.3 A - 0.6 A, but stall current can get as high as 1.7 A, which should be taken into account when choosing a motor driver. 

Unloaded speed of these motors will usually be somewhere around 12.000 RPM and 18.000 RPM, the speed will decrease when the motor shaft is loaded, and decrease even more when the traction force of the fluid (water) or the ground is present. The shaft is usually 8 mm long and 2 mm in diameter. Simple press technique is enough to join the wheel or the propeller with the shaft, because these components are most likely made out of relatively soft plastic. 

https://www.instagram.com/robottronic/"
14×8 RC - 3 Blade Propeller,"3 Blade RC model propeller with alloy spinner

Please like if you download"
Yamaha 275Hp Outboard,"The lower mechanics were downloaded as mesh files from the Yamaha public website then I've converted them to solids.  I made the upper cap in Fusion 360 ( face modeling)
The propeller  is from Grab cad ( sorry i cant remember from which user)"
NACA propeller,"This propeller using NACA profile for the cross section, if you want to know how I created this, you can watch the tutorial"
Variable Configuration and Pitch Propeller,"My project is the prototype of a variable geometry propeller.
A non-fixed propeller can change the ""pitch"", meaning the angle, of its blade to change the thrust.
Fundamentally in my project I added another degree of freedom that allows the propeller to change the blades' angle relative to the center of the propeller,
Modifying the angle, which could be called ""configuration"", the blade assume a different section relative to the angle of attack ( which is the angle perpendicular to the air flow).
When the configuration range is wide enough and the diameter of the rotor is suitable,
the speed of the blades' tips can be lowérèd by changing the configuration and this can provide a higher efficiency in multiple use cases.

One of the use cases of my project could be using it in environments with multiple atmospheric densities. Similarly to the NASA's Dragonfly drone, a drone that will land on Titan possibly in about 14 years. ;)


I started the design process while reading 3d printing articles, it took me some time to understand the precision of a 3d printer, although I chosen from the start FDM printing to develop my project.
I did some concept cad model to test the degree of freedom and to see the overall measures; while learning how to modelling, I used Autodesk Inventor.

In the prototype to simplify the process I chosen to use these ""fit"" parameters multiplied to the tolerances to address the printing imprecisions.
(I haven't found any article to do this the right way, so this what I did:)

printTolerance = nozzleDiameter/2        \\Printing tolerance (rule of thumb)
clearanceFit = 1.25        \\Free movement (rotation or sliding)
transitionFit = 0.85        \\Held in place but easy to disassemble
interferenceFit = 0.30        \\No movement, resist force
freeFit = 1.5        \\Free movement (looks good)

If for example I need a printed part that goes in another 3d printed part, the distance between its walls will be
d0 = 2 * printTolerance * [neededFit]


Some design consideration I've made are:
-Pitch arms that pull rather than push in contraposition to the major force to avoid deformation.
- Using 45° angles to avoid supports.
-All ball bearing fixed in place to sustain axial load.
-The shaft is a carbon-fiber tube, to reduce weight, and squared to sustain better radial load and avoid rotation of the pitch and config shafts.
-The bushing around the shaft is 3d printed and have some margin for deformation to account imprecisions (I read about IGUS fila..."
variable Pitch propeller,controllable pitch propeller or variable pitch propeller
Shrouded submarine style propeller - design 02,3D printable.
Ring cowl for propeller or turbine,"I found this picture on the web by accident.
I don’t know how effective it is.
But maybe someone will take advantage of this model."
APC Propeller 16 x 8 E,"RC propeller, 3D scanned, fited with a surface."
175mm 12 blade EDF propeller,175mm 12 blade EDF propeller
Push propeller,"This is a model of push propeller I designed it in the idea to be executed from wood but also from CF.
Specs:
Diameter = 300mm
Pitch = 150mm
Blade width = 10%
Airfoil used = modified MH series
The trailing edge is plan and the shape of the blade is not symmetrical.

I tested this propeller on a 0.6 OsMax engine with very good results.
If you download it ... likes are very much appreciated."
PROPELLER AP-PR-004,"-------------------------------------------------------------------------------------------------------------
Please fill attached form if You would like to order bespoke propeller design.
-------------------------------------------------------------------------------------------------------------

Propeller for RC plane.
Diameter: 150 [mm]
Pitch: 50 [mm]
Pitch ratio: 0.33

This is a set of four propellers with two and three blades (RH & LH rotation) with blade design AP-PR-004. (see attached drawing and presentation for blade and hub design)

Content:

Right-Hand rotation:
- 2 blades propeller (*.stl; *.stp; *.igs)
- 3 blades propeller (*.stl; *.stp; *.igs)

Left-Hand rotation:
- 2 blades propeller (*.stl; *.stp; *.igs)
- 3 blades propeller (*.stl; *.stp; *.igs)

12x models in total
1x drawing
1x design presentation"
screw propeller Boat Robot,"screw propeller Boat Robot.
STP file .
Free Download."
"Tri-Blade 3D Printable Ø4.5""(Ø114.3mm) Drone Propeller","Concentric hub bore Ø5MM x L12
4.5 in prop circleØ, (114.3mm prop circleØ), CW OR CCW, simply reverse motor as req'd.
Printed at a .05mm layer height in PLA @ 220C, bed=37C, 100mm/s print speed. 
About 1.5 hours to print. 
Some sanding req'd. 
Tested on a 2212, 2200 KV outrunner motor to max RPM (25k-50k rpm) with no issues, makes about 1.25 ft/lbs of thrust on a fully charged 2200mah 3s lipo, 30a esc."
PROPELLER SPINNER AP-SP-001,"-------------------------------------------------------------------------------------------------------------
Please fill attached form if You would like to order bespoke propeller design.
-------------------------------------------------------------------------------------------------------------

3D models and drawings of components for propeller spinner.

The spinner assembly (AP-SP-001) consists of three parts: SPINNER, COLLET and COLLAR. Plus it also includes a SPINNER KEY.

Spinner (AP-SP-001) is for RC propellers with hub of 15 [mm] in diameter and motor shaft of 2 [mm] in diameter.

3D models are in STEP & STL format. (4x STEP; 4x STL)

Manufacturing drawings in PDF format with dimensions and tolerances
(4x Drawings) are available on this link:

https://www.cgtrader.com/3d-print-models/hobby-diy/mechanical-parts/propeller-spinner

Model of the Propeller shown on the picture is available on this link:

https://grabcad.com/library/propeller-ap-pr-003-1"
Tender 3000,"3 meter inflatable tender with minn kota electric outboard.
17"" tubes and 1.6 meter beam.   Tubes, Hull, Floor, and Transom are my own design and all rights are reserved.  Written permission and monetary compensation are required for any commercial use of this model.

References:
Minn Kota parts were derived from these models:
Propeller: https://grabcad.com/library/mini-trolling-motor-1
Outboard: https://grabcad.com/library/electric-outboard-motor-1"
PROPELLER AP-PR-003,"-------------------------------------------------------------------------------------------------------------
Please fill attached form if You would like to order bespoke propeller design.
-------------------------------------------------------------------------------------------------------------

Propeller of 149 [mm] in diameter for RC plane.
This is a set of two propellers (RH & LH rotation) with blade design AP-PR-003. (see attached drawing for blade and hub design)

Content:

Right-Hand rotation:
- 2 blades propeller (*.stl; *.stp; *.igs)

Left-Hand rotation:
- 2 blades propeller (*.stl; *.stp; *.igs)

6x models in total
1x drawing"
MDF Airplane Toys CNC Laser,"I made these for my son when he was about 3 years old.  Crayons work great on MDF as you can see.  These were cut on 100W CNC laser from .205"" MDF.  Lower power system would be OK also.  The propellers are over sized, because for a 3 year boy, an airplane is 90% propeller and 10% everything else!"
A400M Propeller,This is the 8 blade Propeller of an Airbus A400M for model airplanes.
RC boat prop propeller small bathtub toy stl,A simple small RC boat propeller that was 3D printed for a simple bathtub toy for my son.  It worked well!
PROPELLER AP-PR-002,"-------------------------------------------------------------------------------------------------------------
Please fill attached form if You would like to order bespoke propeller design.
-------------------------------------------------------------------------------------------------------------
Propeller of 316 [mm] in diameter for RC plane.
This is a set of three propellers with blade design AP-PR-002. (see attached drawing for blade and hub design)

Content:
Right-Hand rotation:
- 2 blades propeller (*.stl; *.stp; *.igs)
- 3 blades propeller (*.stl; *.stp; *.igs)
- 4 blades propeller (*.stl; *.stp; *.igs)

9x models in total
1x drawing"
PROPELLER AP-PR-001,"-------------------------------------------------------------------------------------------------------------
Please fill attached form if You would like to order bespoke propeller design.
-------------------------------------------------------------------------------------------------------------
Propeller of 150 [mm] in diameter for RC plane.
This is a set of six propellers with blade design AP-PR-001. (see attached drawing for blade and hub design)

Content:
Right-Hand rotation:
- 2 blades propeller (*.stl; *.stp; *.igs)
- 3 blades propeller (*.stl; *.stp; *.igs)
- 4 blades propeller (*.stl; *.stp; *.igs)

Left-Hand rotation:
- 2 blades propeller (*.stl; *.stp; *.igs)
- 3 blades propeller (*.stl; *.stp; *.igs)
- 4 blades propeller (*.stl; *.stp; *.igs)

18x models in total
1x drawing"
KDE direct propellers 12.5in,3 blade KDE foldable propeller
777X passenger flight,"This is remake model of 777X passenger flight.
I use naca points for wings"
HQProp DP 7x3.5x3 V1S,A really rough mockup of this prop: https://www.getfpv.com/hqprop-dp-7x3-5x3-v1s-pc-propeller-set-of-4-black.html
Propeller (Pervane),K010 Modeli İnventörde Çizilmiştir
gurkha propeller,step sw
"Propeller 16x13""","Propeller 16x13"""
Radial Aircraft engine,"Seven cylinders Aircraft engine remodelled in CATIA V5

Credit for dwg: Wolfgang Gutleb"
Ducted variable pitch propeller,"Variable pitch ducted propeller designed for quadrocopter weighing from 45 to 60 kg, propeller thrust at 3200 rpm varies from 10 to 23 kg, mass of prop with duct and motor is 4,5 kg(actual), diam-900mm.
Maximum power consumption at 23 kg of thrust: estimated - 3.4 kW, actual - 4 kW (without fairings on the hub).Air blade model not available - nda"
65mm Prop,65mm press-fit bi-blade propeller with a 1.5mm center hole
Gear Powered Propeller 60:1 Ratio,"Just for fun! Gear powered propeller, overall stepup ratio 60:1."
ULM tripale,Propeller
Propeller With Turbulence Disruptor,5 Bladed Propeller with addition of turbulence disruptor fins
APC Propeller 14 x 8,APC Propeller for hobby RC aircrafts - 14 x 8
F4U Corsair propeller,Model of an F4U Corsair propeller for model airplanes.
Clanford Clan 0.24cc Aero Engine,"Re-constructed from 2D drawings from the 'Motorboys Handbook'.
Some slight changes made but not radical, just for better fits.
Thanks to 'Nick' for the propeller which I hastily scaled to publish.
This is one model I have to build as it is so 'cute'!
12/07/2019 - Have added useful review and construction articles.
11/10/2019 - Have now built for real and added YouTube URL."
Basic propeller,A basic propeller model.
Toys - Propeller Airplane 01,"My own design of propeller airplane toy, inspired by many WWII airplanes (memory based)... Had lots of fun in making this..."
Rotating LED display,"Adurino controlled Rotating LED display/clock.
This display was originally posted on Hobbyprojects.com
Please see: http://www.hobbyprojects.com/projects/jsingh-projects/arduino-nano-propeller-led-analog-clock.html, for more details."
Rov Thruster,"turbine for rov , submarine....
The turbine' s motor is bldc motor that is middle rpm average from 300kv to 680 kv
It's propeller is so tiny  for high rpm which  fir inside water , normally  it is average"
7x10 speed Propeller,7x10 electric speed prop.
3D Printable Quadcopter,"From scratch, I designed a 3D printable flying quadcopter that you can 3D print, build and fly yourself! 
(note: the electronics were provided from an electronics kit sold with the Pixhawk)"
